VehicleName	TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	ImageFile
Drone1	1750873805395	26.1082	-13.1799	-12.3509	0.985811	0.11999	-0.0868552	-0.0789598	img_Drone1__0_1750873981383368200.png
Drone1	1750873805695	26.1275	-13.534	-12.2941	0.990511	0.0661231	-0.0855014	-0.0848867	img_Drone1__0_1750873981752451900.png
Drone1	1750873805971	26.2761	-13.7692	-12.1751	0.993384	0.0422353	-0.0635007	-0.0858607	img_Drone1__0_1750873982125812600.png
Drone1	1750873806280	26.5557	-13.9694	-12.0021	0.995036	0.0267013	-0.0421928	-0.086077	img_Drone1__0_1750873982514404100.png
Drone1	1750873806577	26.876	-14.1085	-11.9597	0.994341	0.0279599	0.0596286	-0.083361	img_Drone1__0_1750873982892664400.png
Drone1	1750873806859	27.0994	-14.1849	-11.9975	0.991934	0.0279027	0.0924226	-0.0821372	img_Drone1__0_1750873983250964500.png
Drone1	1750873807138	27.0952	-14.1903	-12.2413	0.982138	0.0174971	0.17056	-0.0775106	img_Drone1__0_1750873983609320700.png
Drone1	1750873807561	26.5418	-14.0941	-12.811	0.990101	0.00933243	0.116691	-0.0774378	img_Drone1__0_1750873984141081800.png
Drone1	1750873807843	25.9595	-13.9954	-13.0684	0.993726	0.00617181	0.0802273	-0.0776745	img_Drone1__0_1750873984489166800.png
Drone1	1750873808113	25.3191	-13.8882	-13.1888	0.991581	-0.0123393	-0.103032	-0.0774537	img_Drone1__0_1750873984823143800.png
Drone1	1750873808380	24.812	-13.8083	-13.244	0.985062	-0.0256608	-0.15127	-0.0781762	img_Drone1__0_1750873985167334900.png
Drone1	1750873808659	24.4311	-13.8024	-13.3966	0.991374	-0.0688327	0.0643699	-0.0910818	img_Drone1__0_1750873985515463800.png
Drone1	1750873808953	23.9316	-13.9135	-13.6923	0.990801	-0.0560906	0.0814949	-0.0923352	img_Drone1__0_1750873985868195500.png
Drone1	1750873809229	23.3371	-14.0916	-13.9415	0.992874	-0.0402435	0.063391	-0.0925401	img_Drone1__0_1750873986219171400.png
Drone1	1750873809505	22.6491	-14.3188	-14.1514	0.995514	0.00269438	-0.0213223	-0.0921363	img_Drone1__0_1750873986572729200.png
Drone1	1750873809832	21.9006	-14.5783	-14.2459	0.981252	0.0601149	-0.160567	-0.0880253	img_Drone1__0_1750873986977175700.png
Drone1	1750873810087	21.5351	-14.7256	-14.2981	0.989222	-0.00924872	-0.109677	-0.096567	img_Drone1__0_1750873987306270800.png
Drone1	1750873810393	21.2683	-14.9243	-14.2863	0.992683	-0.0345822	-0.0590892	-0.0994675	img_Drone1__0_1750873987679180900.png
Drone1	1750873810684	21.1114	-15.1763	-14.2453	0.993925	-0.0288576	-0.0364785	-0.099746	img_Drone1__0_1750873988035804600.png
Drone1	1750873810969	21.0127	-15.4741	-14.1933	0.994514	-0.0206387	-0.0236327	-0.0997916	img_Drone1__0_1750873988398247300.png
Drone1	1750873811413	20.9301	-15.9211	-14.1893	0.992404	0.0733263	-0.0117834	-0.0980782	img_Drone1__0_1750873988947042000.png
Drone1	1750873811668	20.9374	-16.0471	-14.2696	0.982077	0.12711	-0.0941076	-0.102522	img_Drone1__0_1750873989280212200.png
Drone1	1750873811944	21.1448	-15.9543	-14.6429	0.982954	0.114005	-0.0997879	-0.10415	img_Drone1__0_1750873989640764700.png
Drone1	1750873812229	21.5256	-15.7014	-14.9797	0.988213	0.0830182	-0.0746984	-0.104703	img_Drone1__0_1750873989995872800.png
Drone1	1750873812517	22.0315	-15.3364	-15.23	0.991554	0.0568228	-0.0509204	-0.104873	img_Drone1__0_1750873990341335900.png
Drone1	1750873812943	22.8106	-14.7518	-15.3666	0.982797	-0.0967844	0.121067	-0.100426	img_Drone1__0_1750873990863657400.png
Drone1	1750873813183	23.0882	-14.5201	-15.3776	0.985807	0.0555777	0.105068	-0.11856	img_Drone1__0_1750873991176535600.png
Drone1	1750873813462	23.2758	-14.1589	-15.379	0.981539	0.124552	0.0691326	-0.127626	img_Drone1__0_1750873991532912300.png
Drone1	1750873813750	23.3794	-13.5853	-15.363	0.985039	0.104309	0.0449216	-0.129616	img_Drone1__0_1750873991872104900.png
Drone1	1750873814041	23.4344	-12.8411	-15.2751	0.988229	0.0745988	0.028989	-0.130377	img_Drone1__0_1750873992241517700.png
Drone1	1750873814317	23.4557	-12.0616	-15.234	0.983763	-0.125148	-0.00362387	-0.128589	img_Drone1__0_1750873992588080400.png
Drone1	1750873814596	23.4501	-11.4745	-15.3963	0.974687	-0.182342	-0.00201158	-0.129352	img_Drone1__0_1750873992935388100.png
